"LOCATION","SUBJECT","MEASURE","TIME","Value"
"NOR","PIG","THND_TONNE",1990,83.79218638
"NOR","PIG","THND_TONNE",1991,86.25286184
"NOR","PIG","THND_TONNE",1992,88.30665338
"NOR","PIG","THND_TONNE",1993,92.37425217
"NOR","PIG","THND_TONNE",1994,95.66625914
"NOR","PIG","THND_TONNE",1995,100.7724424
"NOR","PIG","THND_TONNE",1996,107.1430432
"NOR","PIG","THND_TONNE",1997,101.7414423
"NOR","PIG","THND_TONNE",1998,107.0537427
"NOR","PIG","THND_TONNE",1999,98.9881904
"NOR","PIG","THND_TONNE",2000,103.2151909
"NOR","PIG","THND_TONNE",2001,108.8501873
"NOR","PIG","THND_TONNE",2002,104.2621911
"NOR","PIG","THND_TONNE",2003,107.8408938
"NOR","PIG","THND_TONNE",2004,111.8385784
"NOR","PIG","THND_TONNE",2005,115.4908721
"NOR","PIG","THND_TONNE",2006,114.0311912
"NOR","PIG","THND_TONNE",2007,124.0031909
"NOR","PIG","THND_TONNE",2008,124.2271915
"NOR","PIG","THND_TONNE",2009,131.8240191
"NOR","PIG","THND_TONNE",2010,136.4951843
"NOR","PIG","THND_TONNE",2011,140.7231873
"NOR","PIG","THND_TONNE",2012,130.9048056
"NOR","PIG","THND_TONNE",2013,128.8337589
"NOR","PIG","THND_TONNE",2014,131.0808564
"NOR","PIG","THND_TONNE",2015,137.269508
"NOR","PIG","THND_TONNE",2016,138.2345399
"NOR","PIG","THND_TONNE",2017,136.1945444
"NOR","PIG","THND_TONNE",2018,138.7845773
"NOR","PIG","THND_TONNE",2019,136.6575763
"NOR","POULTRY","THND_TONNE",1990,20.08410006
"NOR","POULTRY","THND_TONNE",1991,20.53909986
"NOR","POULTRY","THND_TONNE",1992,23.11710062
"NOR","POULTRY","THND_TONNE",1993,23.08809969
"NOR","POULTRY","THND_TONNE",1994,26.17209955
"NOR","POULTRY","THND_TONNE",1995,29.65810039
"NOR","POULTRY","THND_TONNE",1996,32.61909839
"NOR","POULTRY","THND_TONNE",1997,33.48809677
"NOR","POULTRY","THND_TONNE",1998,31.4290996
"NOR","POULTRY","THND_TONNE",1999,36.75409861
"NOR","POULTRY","THND_TONNE",2000,42.98310101
"NOR","POULTRY","THND_TONNE",2001,42.31910081
"NOR","POULTRY","THND_TONNE",2002,45.86509991
"NOR","POULTRY","THND_TONNE",2003,49.19310097
"NOR","POULTRY","THND_TONNE",2004,54.58410065
"NOR","POULTRY","THND_TONNE",2005,57.66909848
"NOR","POULTRY","THND_TONNE",2006,63.01910256
"NOR","POULTRY","THND_TONNE",2007,70.61010037
"NOR","POULTRY","THND_TONNE",2008,84.28510497
"NOR","POULTRY","THND_TONNE",2009,81.84110217
"NOR","POULTRY","THND_TONNE",2010,84.1461005
"NOR","POULTRY","THND_TONNE",2011,84.55009435
"NOR","POULTRY","THND_TONNE",2012,93.2000979
"NOR","POULTRY","THND_TONNE",2013,105.8461007
"NOR","POULTRY","THND_TONNE",2014,104.1308794
"NOR","POULTRY","THND_TONNE",2015,93.41809986
"NOR","POULTRY","THND_TONNE",2016,99.99009991
"NOR","POULTRY","THND_TONNE",2017,102.8621001
"NOR","POULTRY","THND_TONNE",2018,104.5511001
"NOR","POULTRY","THND_TONNE",2019,107.893166
"NOR","BEEF","THND_TONNE",1990,76.70210184
"NOR","BEEF","THND_TONNE",1991,79.13510084
"NOR","BEEF","THND_TONNE",1992,80.58810044
"NOR","BEEF","THND_TONNE",1993,82.50710015
"NOR","BEEF","THND_TONNE",1994,89.42009656
"NOR","BEEF","THND_TONNE",1995,87.98610233
"NOR","BEEF","THND_TONNE",1996,90.26009905
"NOR","BEEF","THND_TONNE",1997,90.06810117
"NOR","BEEF","THND_TONNE",1998,92.66709984
"NOR","BEEF","THND_TONNE",1999,90.72009612
"NOR","BEEF","THND_TONNE",2000,93.60010076
"NOR","BEEF","THND_TONNE",2001,91.59809969
"NOR","BEEF","THND_TONNE",2002,92.27310095
"NOR","BEEF","THND_TONNE",2003,86.47210309
"NOR","BEEF","THND_TONNE",2004,94.24409907
"NOR","BEEF","THND_TONNE",2005,94.76009772
"NOR","BEEF","THND_TONNE",2006,92.07309822
"NOR","BEEF","THND_TONNE",2007,89.06810164
"NOR","BEEF","THND_TONNE",2008,92.21409874
"NOR","BEEF","THND_TONNE",2009,91.44610251
"NOR","BEEF","THND_TONNE",2010,91.94010289
"NOR","BEEF","THND_TONNE",2011,94.83710052
"NOR","BEEF","THND_TONNE",2012,99.26110231
"NOR","BEEF","THND_TONNE",2013,101.1510985
"NOR","BEEF","THND_TONNE",2014,93.08810088
"NOR","BEEF","THND_TONNE",2015,103.9961007
"NOR","BEEF","THND_TONNE",2016,106.5650994
"NOR","BEEF","THND_TONNE",2017,105.2231001
"NOR","BEEF","THND_TONNE",2018,104.4301003
"NOR","BEEF","THND_TONNE",2019,105.7316985
"NOR","SHEEP","THND_TONNE",1990,23.30810028
"NOR","SHEEP","THND_TONNE",1991,24.46410089
"NOR","SHEEP","THND_TONNE",1992,25.0141004
"NOR","SHEEP","THND_TONNE",1993,25.44710059
"NOR","SHEEP","THND_TONNE",1994,27.15210035
"NOR","SHEEP","THND_TONNE",1995,27.48609954
"NOR","SHEEP","THND_TONNE",1996,27.73410031
"NOR","SHEEP","THND_TONNE",1997,25.12609903
"NOR","SHEEP","THND_TONNE",1998,23.70509997
"NOR","SHEEP","THND_TONNE",1999,23.17509957
"NOR","SHEEP","THND_TONNE",2000,24.43009917
"NOR","SHEEP","THND_TONNE",2001,25.16309921
"NOR","SHEEP","THND_TONNE",2002,25.54609929
"NOR","SHEEP","THND_TONNE",2003,24.86109942
"NOR","SHEEP","THND_TONNE",2004,26.57409943
"NOR","SHEEP","THND_TONNE",2005,26.4420993
"NOR","SHEEP","THND_TONNE",2006,25.91210075
"NOR","SHEEP","THND_TONNE",2007,26.44910043
"NOR","SHEEP","THND_TONNE",2008,28.88909937
"NOR","SHEEP","THND_TONNE",2009,25.46910013
"NOR","SHEEP","THND_TONNE",2010,26.01309915
"NOR","SHEEP","THND_TONNE",2011,25.15810048
"NOR","SHEEP","THND_TONNE",2012,25.71910051
"NOR","SHEEP","THND_TONNE",2013,26.93110067
"NOR","SHEEP","THND_TONNE",2014,26.54309996
"NOR","SHEEP","THND_TONNE",2015,27.1831
"NOR","SHEEP","THND_TONNE",2016,27.17852446
"NOR","SHEEP","THND_TONNE",2017,27.48310001
"NOR","SHEEP","THND_TONNE",2018,27.25587316
"NOR","SHEEP","THND_TONNE",2019,26.95421969
